fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,type
0.2692307692307693,0.1764705882352941,0.13253012048192772,0.2691717791411043,0.12166172106824927,0.07317073170731707,0.3016241299303944,0.229998072103335,0.3090909090909091,0.3255813953488372,0.19354838709677402,0.33333333333333326,0
0.22115384615384626,0.29411764705882354,0.08433734939759038,0.05061349693251534,0.1513353115727003,0.08710801393728224,0.24129930394431554,0.12203585887796464,0.31818181818181834,0.13953488372093026,0.19354838709677402,0.16666666666666663,0
0.28846153846153855,0.08823529411764708,0.20481927710843376,0.02147239263803681,0.09198813056379823,0.1254355400696864,0.23665893271461713,0.055716213610949694,0.4727272727272731,0.26744186046511625,0.7903225806451615,0.5,0
0.18269230769230782,0.2745098039215686,0.20481927710843376,0.05521472392638037,0.050445103857566766,0.06620209059233449,0.15777262180974477,0.06921149026412365,0.6272727272727274,0.26744186046511625,0.6290322580645162,0.5,0
0.2692307692307693,0.06862745098039214,0.1927710843373494,0.08282208588957055,0.07121661721068251,0.1986062717770035,0.27610208816705334,0.09273182957393544,0.42727272727272725,0.569767441860465,0.6612903225806452,0.8333333333333333,0
0.27884615384615397,0.0784313725490196,0.1927710843373494,0.18251533742331288,0.07715133531157273,0.05574912891986063,0.3410672853828306,0.18411413148255207,0.1454545454545455,0.16279069767441856,0.16129032258064524,0.5,0
0.23076923076923084,0.1764705882352941,0.1927710843373494,0.2254601226993865,0.06528189910979229,0.21602787456445993,0.40835266821345706,0.21669558511663567,0.5363636363636366,0.45348837209302323,0.22580645161290325,0.33333333333333326,0
0.3653846153846154,0.04901960784313725,0.20481927710843376,0.1334355828220859,0.15727002967359052,0.13240418118466898,0.27146171693735494,0.18295739348371143,0.44545454545454577,0.19767441860465118,0.25806451612903225,0.33333333333333326,0
0.22115384615384626,0.2745098039215686,0.3493975903614458,0.22085889570552147,0.10385756676557864,0.13937282229965156,0.24593967517401388,0.20609215346057397,0.3909090909090911,0.3372093023255814,0.16129032258064524,0.33333333333333326,0
0.2692307692307693,0.16666666666666666,0.30722891566265065,0.11349693251533742,0.11275964391691395,0.20557491289198607,0.4176334106728538,0.17216117216117155,0.45454545454545503,0.31395348837209297,0.19354838709677402,0.33333333333333326,0
0.23076923076923084,0.21568627450980388,0.15662650602409642,0.19631901840490798,0.10979228486646886,0.1916376306620209,0.45707656612528996,0.2051282051282044,0.40909090909090917,0.2441860465116279,0.24193548387096775,0.5,0
0.28846153846153855,0.08823529411764708,0.1927710843373494,0.012269938650306747,0.09198813056379823,0.11498257839721254,0.22505800464037123,0.06072874493927216,0.40000000000000036,0.5116279069767442,0.6451612903225807,0.33333333333333326,0
0.18269230769230782,0.15686274509803919,0.18072289156626506,0.010736196319018405,0.06231454005934719,0.08013937282229966,0.20649651972157773,0.04954694428378659,0.5909090909090913,0.2441860465116279,0.709677419354839,0.6666666666666665,0
0.424778761061947,0.10273972602739725,0.53,0.10273972602739725,0.1035058430717863,0.07042253521126761,0.04240282685512367,0.4500734214390576,0.3622047244094486,0.47904191616766467,0.5538461538461539,0.8,1
0.23076923076923084,0.2745098039215686,0.15662650602409642,0.19325153374233128,0.12462908011869436,0.18118466898954705,0.44547563805104406,0.20223636013109925,0.4818181818181819,0.27906976744186046,0.16129032258064524,0.33333333333333326,0
0.34615384615384626,0.11764705882352941,0.18674698795180725,0.015337423312883437,0.08605341246290801,0.11149825783972125,0.24825986078886308,0.07885097358781579,0.4818181818181819,0.19767441860465118,0.6451612903225807,0.6666666666666665,0
0.3942307692307694,0.3529411764705882,0.22289156626506026,0.08052147239263803,0.07121661721068251,0.08710801393728224,0.19489559164733178,0.09427414690572533,0.40000000000000036,0.372093023255814,0.741935483870968,0.6666666666666665,0
0.2500000000000001,0.11764705882352941,0.1927710843373494,0.03834355828220859,0.09495548961424335,0.05574912891986063,0.27146171693735494,0.08270676691729406,0.645454545454546,0.2325581395348837,0.6451612903225807,0.5,0
0.256637168141593,0.3493150684931507,0.12,0.28767123287671226,0.1652754590984975,0.6901408450704226,0.3674911660777385,0.604258443465497,0.4094488188976375,0.26347305389221565,0.15384615384615397,0.3999999999999999,1
0.27884615384615397,0.15686274509803919,0.1927710843373494,0.12883435582822086,0.041543026706231466,0.0627177700348432,0.23201856148491878,0.10622710622710585,0.5636363636363635,0.1511627906976744,0.741935483870968,0.5,0
0.2596153846153847,0.23529411764705882,0.1385542168674699,0.12116564417177914,0.12462908011869436,0.0627177700348432,0.29930394431554525,0.13861577019471838,0.28181818181818175,0.2325581395348837,0.435483870967742,0.33333333333333326,0
0.27884615384615397,0.32352941176470584,0.20481927710843376,0.13190184049079753,0.11869436201780417,0.09407665505226481,0.32714617169373544,0.18681318681318615,0.45454545454545503,0.3372093023255814,0.17741935483870974,0.33333333333333326,0
0.2500000000000001,0.1372549019607843,0.1927710843373494,0.17484662576687116,0.16913946587537093,0.1916376306620209,0.34570765661252895,0.23308270676691834,0.8000000000000003,0.2441860465116279,0.16129032258064524,0.5,0
0.3269230769230771,0.15686274509803919,0.11445783132530121,0.10889570552147239,0.10682492581602374,0.17770034843205576,0.38747099767981436,0.16753422016579833,0.40909090909090917,0.18604651162790697,0.24193548387096775,0.33333333333333326,0
0.24778761061946908,0.3287671232876712,0.26,0.4383561643835616,0.09682804674457429,0.49295774647887325,0.40636042402826855,0.5969162995594672,0.49606299212598426,0.09580838323353294,0.15384615384615397,0.3999999999999999,1
0.27884615384615397,0.12745098039215685,0.20481927710843376,0.013803680981595092,0.07715133531157273,0.14982578397212543,0.2645011600928074,0.04588394062078294,0.4727272727272731,0.16279069767441856,0.741935483870968,0.6666666666666665,0
